id,kanji,reading,pos,meaning_zh
282,遷移,せんい,verb-noun,迁移; 变迁
283,鮮明,せんめい,na-adj,鲜明
284,前途,ぜんと,noun,前途
285,先行,せんこう,verb-noun,先行
286,相殺,そうさい,verb-noun,相抵; 抵消
287,総括,そうかつ,verb-noun,总括
288,創造,そうぞう,verb-noun,创造
289,装置,そうち,noun,装置
290,葬る,ほうむる,v5,埋葬; 封杀
291,促進,そくしん,verb-noun,促进
292,即位,そくい,verb-noun,即位
293,側面,そくめん,noun,侧面
294,測定,そくてい,verb-noun,测定
295,束縛,そくばく,verb-noun,束缚
296,遡及,そっきゅう,verb-noun,溯及; 追溯
297,訴追,そつい,verb-noun,起诉; 追诉
298,損得,そんとく,noun,得失
299,尊厳,そんげん,noun,尊严
300,尊重,そんちょう,verb-noun,尊重
